model,seed,runs,matched_count,num_samples,detection_rate,mean_bbox_iou_2d,mean_ate_m,mean_aoe_deg,mean_bev_iou,mean_3d_iou,note
baseline,42,1,976,1000,0.976,0.8182303286678512,0.08841649835097191,1.3318991079304159,0.7921090775437006,0.7593290985694219,reference: only seed42 trained
geometry_v2,40,1,978,1000,0.978,0.9455605038686105,0.08403287614635735,1.2735047342669485,0.9021960451390605,0.90217109289975,final checkpoint
geometry_v2,42,1,974,1000,0.974,0.9416129244218789,0.08518524282110866,1.3387276842932794,0.8968441042380294,0.8968193715058436,final checkpoint
geometry_v2,64,1,975,1000,0.975,0.9424700398657283,0.08176098807452199,1.4187402823432071,0.8988588186590657,0.8988339407618567,final checkpoint
geometry_v2_mean,"40,42,64",3,975.6666666666666,1000,0.9756666666666667,0.9432144893854059,0.08365970234732933,1.3436575669678117,0.8992996560120519,0.8992748017224834,mean over geometry_v2 seeds 40/42/64
