bucket_end,num_points,loss_mean,hm_loss_mean,reg_loss_mean
100,10,4.804530000000001,3.07939,1.68792
200,10,3.59319,2.5925000000000002,1.00198
300,10,2.86853,2.2218100000000005,0.5906199999999999
400,10,2.2918800000000004,1.8303700000000003,0.44318
500,10,2.0089300000000003,1.5854599999999999,0.40591
600,10,1.8023799999999999,1.39499,0.39847
700,10,1.7188500000000002,1.30909,0.36396
800,10,1.48706,1.1359599999999999,0.31573
900,10,1.36343,1.088,0.28891000000000006
1000,10,1.3061,1.00725,0.29659
1100,10,1.19841,0.8932500000000001,0.25333
1200,10,1.1578300000000001,0.90337,0.23583999999999997
1300,10,1.33391,0.9681,0.34315
1400,10,1.0968799999999999,0.82005,0.255
1500,10,0.9560900000000002,0.72895,0.20969000000000002
1600,10,0.9812200000000001,0.74637,0.21188
1700,10,0.89498,0.6632800000000001,0.20912999999999998
1800,10,0.8072299999999999,0.60971,0.18434
1900,10,0.77482,0.5696700000000001,0.18872
2000,10,0.7471999999999999,0.57926,0.16446
2100,10,0.7390100000000001,0.55705,0.18232000000000004
2200,10,0.7102400000000001,0.52097,0.18304
2300,10,0.7218,0.5319100000000001,0.17919999999999997
2400,10,0.7046199999999999,0.51599,0.16404000000000002
2500,10,0.70369,0.5352399999999999,0.1565
2600,10,0.61074,0.4271,0.16051999999999997
2700,10,0.5547699999999999,0.39505,0.15145000000000003
2800,10,0.61115,0.45032000000000005,0.16801000000000002
2900,10,0.56254,0.40396,0.14092000000000002
3000,10,0.5120600000000001,0.35921,0.13636000000000004
3100,10,0.5895400000000001,0.4253,0.15777
3200,10,0.5767499999999999,0.40124999999999994,0.15662
3300,10,0.59087,0.40667,0.17282999999999998
3400,10,0.5275000000000001,0.39181,0.13459
3500,10,0.57106,0.417,0.14961
3600,10,0.45987,0.33332,0.13671
3700,10,0.50702,0.35479999999999995,0.14584
3800,10,0.5162699999999999,0.36655999999999994,0.1391
3900,10,0.50575,0.37493,0.13348
4000,10,0.45066000000000006,0.31655999999999995,0.12068000000000001
4100,10,0.5632399999999999,0.40176,0.14833999999999997
4200,10,0.8120799999999999,0.52606,0.28706
4300,10,0.58435,0.3978,0.16663999999999998
4400,10,0.5618299999999999,0.39048999999999995,0.15928
4500,10,0.53502,0.36543000000000003,0.14665999999999998
4600,10,0.44939,0.31737000000000004,0.12858
4700,10,0.48464999999999997,0.35239,0.12698
4800,10,0.42996999999999996,0.30716,0.11464
4900,10,0.45183,0.33502,0.1153
5000,10,0.41596,0.2921,0.11299
5100,10,0.43633000000000005,0.30186,0.1266
5200,10,0.39675,0.2765700000000001,0.12344999999999999
5300,10,0.36205,0.24056000000000002,0.12128999999999998
5400,10,0.43215000000000003,0.32008000000000003,0.10952999999999999
5500,10,0.36244,0.24085,0.11599999999999999
5600,10,0.41617,0.302,0.10973
5700,10,0.35925,0.24043,0.11434000000000002
5800,10,0.37209,0.25194,0.12210999999999998
5900,10,0.38996,0.28247000000000005,0.12007999999999999
6000,10,0.40408999999999995,0.29462,0.11220999999999999
6100,10,0.38353000000000004,0.27010999999999996,0.11379000000000002
6200,10,0.42076,0.29506,0.11916
6300,10,0.34783,0.24226999999999999,0.10813000000000002
6400,10,0.23587000000000002,0.16787999999999997,0.0671
6500,10,0.20753,0.14411000000000002,0.060300000000000006
6600,10,0.20364,0.13968,0.060039999999999996
6700,10,0.1687,0.10482,0.05778
6800,10,0.15729999999999997,0.09894,0.057050000000000003
6900,10,0.16168,0.09964999999999999,0.05955999999999999
7000,10,0.18906,0.13028999999999996,0.05266
7100,10,0.13346,0.07636000000000001,0.05595
7200,10,0.16631,0.10874999999999999,0.05541
7300,10,0.13945000000000002,0.08314,0.052090000000000004
7400,10,0.12206999999999998,0.06884000000000001,0.049
7500,10,0.13642,0.08284,0.05344
7600,10,0.14087,0.08238999999999999,0.051949999999999996
7700,10,0.11978,0.07089,0.050429999999999996
7800,10,0.12837,0.07835,0.04956000000000001
7900,10,0.11417000000000002,0.05948,0.048560000000000006
8000,10,0.11500999999999999,0.06662,0.04938
8100,10,0.10491999999999999,0.06009,0.046439999999999995
8200,10,0.11476,0.06016999999999999,0.050929999999999996
8300,10,0.13337000000000002,0.08096,0.04784
8400,10,0.1081,0.059399999999999994,0.046529999999999995
8500,10,0.11817,0.06777000000000001,0.048260000000000004
8600,10,0.10042,0.05179,0.04651
8700,10,0.10432,0.057580000000000006,0.04664
8800,10,0.11375000000000002,0.06181,0.04763
8900,10,0.10585,0.053500000000000006,0.04722
9000,10,0.10903,0.055880000000000006,0.04576
9100,10,0.1112,0.06015999999999999,0.04609
9200,10,0.10769999999999999,0.05223,0.04858
9300,10,0.12559,0.0746,0.04986
9400,10,0.10729,0.062270000000000006,0.043969999999999995
9500,10,0.12384999999999999,0.07189000000000001,0.04635
9600,10,0.11863000000000001,0.07153000000000001,0.04597
9700,10,0.11035999999999999,0.059169999999999986,0.04471
9800,10,0.09524999999999999,0.045129999999999997,0.045270000000000005
9900,10,0.11951,0.06881999999999999,0.046349999999999995
10000,10,0.10757000000000001,0.05898,0.04639
10100,10,0.09147999999999999,0.04819999999999999,0.04154
10200,10,0.09236,0.04639,0.03812
10300,10,0.08411,0.04021999999999999,0.036570000000000005
10400,10,0.08876,0.04567,0.037469999999999996
10500,10,0.07528,0.03021999999999999,0.039080000000000004
10600,10,0.06634,0.02606,0.037540000000000004
10700,10,0.08421,0.042719999999999994,0.0372
10800,10,0.08269000000000001,0.04494,0.03885000000000001
10900,10,0.08079,0.04287,0.03654999999999999
11000,10,0.08463000000000001,0.044689999999999994,0.03715
11100,10,0.07810999999999998,0.039200000000000006,0.03645999999999999
11200,10,0.07997,0.038639999999999994,0.03613
11300,10,0.08780999999999999,0.043320000000000004,0.03487
11400,10,0.08003,0.03889,0.03365
11500,10,0.07505,0.035300000000000005,0.035559999999999994
11600,10,0.08122,0.03807000000000001,0.034609999999999995
11700,10,0.06800000000000002,0.030319999999999996,0.034710000000000005
11800,10,0.08091,0.042140000000000004,0.03526
11900,10,0.07955,0.03848,0.036129999999999995
12000,10,0.07874,0.04667,0.03365
12100,10,0.07586,0.04156,0.03506
12200,10,0.06563,0.03251,0.033600000000000005
12300,10,0.08102,0.0423,0.036309999999999995
12400,10,0.07576000000000001,0.03773000000000001,0.03551
12500,10,0.07059,0.030770000000000002,0.03404
12600,10,0.07253000000000001,0.039200000000000006,0.03401
12700,10,0.07459000000000002,0.03551,0.03546
12800,10,0.08326,0.04929,0.03301
12900,10,0.06692000000000001,0.029400000000000003,0.034199999999999994
13000,10,0.08017,0.0432,0.03611
13100,10,0.07902,0.039180000000000006,0.03627
13200,10,0.06603,0.024439999999999996,0.035109999999999995
13300,10,0.0748,0.035719999999999995,0.03458000000000001
13400,10,0.06358,0.03197,0.03264
13500,10,0.0739,0.035019999999999996,0.03443
13600,10,0.07813,0.040209999999999996,0.03304
13700,10,0.0683,0.031779999999999996,0.034890000000000004
13800,10,0.06839999999999999,0.02595,0.036019999999999996
13900,10,0.07375000000000001,0.03503,0.034089999999999995
14000,10,0.06873000000000001,0.03143,0.03479
14100,10,0.07971,0.03936,0.0349
14200,10,0.0677,0.02647,0.036989999999999995
14300,10,0.06644,0.027339999999999996,0.03336
14400,10,0.06721,0.028950000000000004,0.03476
14500,10,0.06638999999999999,0.02962,0.034
14600,10,0.07063,0.029339999999999998,0.03513
14700,10,0.07011,0.033280000000000004,0.033330000000000005
14800,10,0.06648000000000001,0.025870000000000004,0.033940000000000005
14900,10,0.08141000000000001,0.0414,0.033240000000000006
15000,10,0.06076999999999999,0.02361,0.03227
