model,seed,runs,matched_count,num_samples,detection_rate,mean_bbox_iou_2d,mean_ate_m,mean_aoe_deg,mean_bev_iou,mean_3d_iou,note
baseline,42,1,923,1000,0.923,0.6860542625681665,0.8335404756881563,5.1624754951070475,0.5765708652714634,0.5520801003100669,reference: only seed42 trained
geometry_v2,40,1,898,1000,0.898,0.7801432854084165,0.7263422979825988,3.9960165759052297,0.6206871757697324,0.6206704540642783,final checkpoint
geometry_v2,42,1,882,1000,0.882,0.750376047873672,0.7850173676564398,6.4500895898315465,0.5983214522458195,0.5983055031865758,final checkpoint
geometry_v2,64,1,923,1000,0.923,0.8006278036039796,0.667704469707965,5.529484784269575,0.6560724288013664,0.6560547389273761,final checkpoint
geometry_v2_mean,"40,42,64",3,901.0,1000,0.901,0.7770490456286894,0.7263547117823346,5.32519698333545,0.6250270189389727,0.6250102320594101,mean over geometry_v2 seeds 40/42/64
