model,seed,runs,matched_count,num_samples,detection_rate,mean_bbox_iou_2d,mean_ate_m,mean_aoe_deg,mean_bev_iou,mean_3d_iou,note
baseline,42,1,77,100,0.77,0.59758479436874,0.8942478127390533,2.7018941239869183,0.50337303087314,0.47905079960377056,best 3D IoU on original val1000: iter 15000
geometry_v2,40,1,78,100,0.78,0.6688555090263277,0.8179337410972669,2.788307318270502,0.5481071513696184,0.548092500278763,best 3D IoU on original val1000: iter 12000
geometry_v2,42,1,70,100,0.7,0.6067730051405665,0.701758422596114,3.909578520851472,0.5155213874720783,0.5155075164737822,best 3D IoU on original val1000: iter 13000
geometry_v2,64,1,74,100,0.74,0.6617394402119369,0.5472409739410756,2.4856458403049606,0.5685429003573033,0.5685276182991267,best 3D IoU on original val1000: iter 14000
geometry_v2_mean,"40,42,64",3,74,100,0.74,0.645789318126277,0.6889777125448189,3.0611772264756447,0.5440571463996666,0.5440425450172239,mean over geometry_v2 seeds 40/42/64 (best 3D IoU checkpoints)
