[2026-03-25 00:09:16 KST] waiting for baseline final checkpoint: /home/dy-jang/projects/TruckDetection-main/results/baseline_b16_full/seed_42/model_final.pth
[2026-03-25 01:35:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:36:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:37:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:38:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:39:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:40:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:41:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:42:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:43:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:44:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:45:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:46:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:47:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:48:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:49:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:50:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:51:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:52:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:53:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:54:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:55:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:56:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:57:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:58:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 01:59:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:00:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:01:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:02:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:03:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:04:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:05:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:06:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:07:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:08:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:09:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:10:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:11:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:12:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:13:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:14:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:15:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:16:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:17:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:18:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:19:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:20:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:21:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:22:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:23:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:24:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:25:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:26:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:27:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:28:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:29:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:30:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:31:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:32:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:33:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:34:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:35:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:36:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:37:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:38:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:39:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:40:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:41:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:42:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:43:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:44:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:45:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:46:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:47:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:48:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:49:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:50:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:51:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:52:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:53:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:54:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:55:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:56:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:57:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:58:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 02:59:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:00:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:01:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:02:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:03:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:04:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:05:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:06:16 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:07:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:08:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:09:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:10:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:11:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:12:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:13:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:14:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:15:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:16:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:17:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:18:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:19:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:20:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:21:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:22:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:23:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:24:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:25:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:26:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:27:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:28:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:29:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:30:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:31:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:32:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:33:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:34:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:35:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:36:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:37:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:38:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:39:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:40:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:41:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:42:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:43:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:44:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:45:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:46:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:47:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:48:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:49:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:50:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:51:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:52:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:53:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:54:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:55:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:56:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:57:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:58:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 03:59:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:00:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:01:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:02:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:03:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:04:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:05:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:06:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:07:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:08:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:09:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:10:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:11:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:12:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:13:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:14:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:15:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:16:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:17:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:18:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:19:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:20:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:21:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:22:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:23:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:24:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:25:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:26:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:27:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:28:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:29:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:30:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:31:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:32:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:33:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:34:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:35:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:36:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:37:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:38:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:39:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:40:17 KST] baseline seed_42 still running; waiting for model_final
[2026-03-25 04:41:17 KST] baseline seed_42 still running; waiting for model_final
