model,seed,runs,matched_count,num_samples,detection_rate,mean_bbox_iou_2d,mean_ate_m,mean_aoe_deg,mean_bev_iou,mean_3d_iou,note
baseline,42,1,77,100,0.77,0.59758479436874,0.8942478127390533,2.7018941239869183,0.50337303087314,0.47905079960377056,reference: only seed42 trained
geometry_v2,40,1,78,100,0.78,0.6673197862925392,0.8133453489878238,2.6953854764969614,0.5484587992194176,0.5484440970445076,final checkpoint
geometry_v2,42,1,71,100,0.71,0.6166924242642492,0.6924976314562308,4.006747778376109,0.5229167685683787,0.5229027455261368,final checkpoint
geometry_v2,64,1,74,100,0.74,0.6595888110118754,0.5516361129797391,2.60577340643548,0.5668164346812875,0.5668012422553108,final checkpoint
geometry_v2_mean,"40,42,64",3,74.33333333333333,100,0.7433333333333333,0.6478670071895546,0.6858263644745979,3.1026355537695167,0.546064000823028,0.5460493616086517,mean over geometry_v2 seeds 40/42/64
